countrycode,year,rgdpe
IRN,2004,714707.19
IRN,2005,859941.81
IRN,2006,922902.06
IRN,2007,1018159.06
IRN,2008,935435.31
IRN,2009,919980.5
IRN,2010,979295.88
IRN,2011,1033127.19
IRQ,1950,
IRQ,1951,
IRQ,1952,
IRQ,1953,
IRQ,1954,
IRQ,1955,
IRQ,1956,
IRQ,1957,
IRQ,1958,
IRQ,1959,
IRQ,1960,
IRQ,1961,
IRQ,1962,
IRQ,1963,
IRQ,1964,
IRQ,1965,
IRQ,1966,
IRQ,1967,
IRQ,1968,
IRQ,1969,
IRQ,1970,28966.6
IRQ,1971,30920.52
IRQ,1972,30064.51
IRQ,1973,36323.75
IRQ,1974,40773.2
IRQ,1975,46644.03
IRQ,1976,55080.79
IRQ,1977,55365.06
IRQ,1978,65459.41
IRQ,1979,84102.34
IRQ,1980,85811.02
IRQ,1981,71285.69
IRQ,1982,69278.52
IRQ,1983,61218.61
IRQ,1984,61646.46
IRQ,1985,62930.1
IRQ,1986,66968.57
IRQ,1987,80392.21
IRQ,1988,83038.72
IRQ,1989,74759.06
IRQ,1990,74454.11
IRQ,1991,25078.98
IRQ,1992,31258.18
IRQ,1993,46662.91
IRQ,1994,43646.48
IRQ,1995,35484.65
IRQ,1996,52990.36
IRQ,1997,64742.59
IRQ,1998,87219.75
IRQ,1999,102160.05
IRQ,2000,104341.42
IRQ,2001,106844.83
IRQ,2002,99591.71
IRQ,2003,65189.35
IRQ,2004,103095.06
IRQ,2005,105953.91
IRQ,2006,115818.27
IRQ,2007,118903.2
IRQ,2008,126260.27
IRQ,2009,133670.56
IRQ,2010,142224.5
IRQ,2011,152567.16
ISL,1950,1046.69
ISL,1951,1001.16
ISL,1952,1001.64
ISL,1953,1169.8
ISL,1954,1300.27
ISL,1955,1509.8
ISL,1956,1500.49
ISL,1957,1518.49
ISL,1958,1674.76
ISL,1959,1762.96
ISL,1960,1729.14
ISL,1961,1842.03
ISL,1962,1904.4
ISL,1963,2138.48
ISL,1964,2468.93
ISL,1965,2755.52
ISL,1966,2962.57
ISL,1967,2915.95
ISL,1968,2659.51
ISL,1969,2728.43
ISL,1970,2976.39
ISL,1971,3645.89
ISL,1972,3629.07
ISL,1973,4166.06
ISL,1974,4445.71
ISL,1975,4259.97
ISL,1976,4344.92
ISL,1977,5006.82
ISL,1978,5196.7
ISL,1979,5278.52
ISL,1980,5578.08
ISL,1981,5856.47
ISL,1982,6085.96
ISL,1983,5412.68
ISL,1984,5975.39
ISL,1985,5937.06
ISL,1986,6284.17
ISL,1987,7072.92
ISL,1988,7244.46
ISL,1989,6985.13
ISL,1990,6992.93
ISL,1991,7189.88
ISL,1992,6872
ISL,1993,6914.69
ISL,1994,7097.38
ISL,1995,7209.54
ISL,1996,7512.38
ISL,1997,8229.56
ISL,1998,9055.02
ISL,1999,9455.28
ISL,2000,9500.42
ISL,2001,9756.74
ISL,2002,9649.38
ISL,2003,9416.72
ISL,2004,10297.67
ISL,2005,10895.38
